Title,Call No,Copy No,Rayon,Branch
Nuclear interactions,B9,0,Main,1
B5  1  Main 2  Central Park (edition poche) (Best) (French Edition),FR,16020,B5,1
Microeconomics of Banking (The MIT Press),EF,10017,B3,1
Endogenous Growth Theory (The MIT Press),EC,23029,B10,1
ECONOMIE INTERNATIONALE 9E (ECO GESTION) (French Edition),EF,10006,B3,1
"La Huitième Porte (L'Autre, Tome 3) (L'Autre (3)) (French Edition)",FR,16065,B5,1
1Q84 - Livre 3 (3) (Littérature étrangère) (French Edition),FR,16004,B5,1
Linchpin: Are You Indispensable? How to drive your career and create a remarkable future,DP,19052,B7,1
The Theory of Incentives: The Principal-Agent Model,EF,10021,B3,1
The Theory of Incentives: The Principal-Agent Model,EF,10021,B3,2
The Theory of Industrial Organization (The MIT Press),GI,12025,B4,1
Microeconomics of Banking (The MIT Press),EF,10017,B3,2
The Theory of Industrial Organization (The MIT Press),GI,12025,B4,2
Contre-histoire de la philosophie tome 9 : Les Consciences réfractaires: Contre-histoire de la philosophie t.9 (Contre- histoire de la philosophie (9)) (French Edition),PI,21004,B8,1
The Four Steps to the Epiphany,DP,19081,B7,1
La Peste (Folio Plus Classique) (French Edition),FR,16070,B5,1
Le theoreme du perroquet (Points) (French Edition),FR,16111,B5,1
PLPR5 Jamaica Inn (Penguin Longman Penguin Readers),LA,17060,B5,1
"La complexité, vertiges et promesses - Poche (POCHE - Le Pommier) (French Edition)",FR,16060,B5,1
Qu'y a-t-il dans un REACTEUR nucléaire,16178,B5,1,Main
Les Ultras des lumières,21015,B8,1,Main
Le facteur temps ne sonne jamais deux fois (Champs sciences) (French Edition),FR,16089,B5,1
Le facteur temps ne sonne jamais deux fois (Champs sciences) (French Edition),FR,16089,B5,2
Il était sept fois la révolution: Albert Einstein et les autres... (Champs sciences (829)),HP,20017,B8,1
Science et l'hypothèse (nc) (La) (CHAMPS SCIENCES),FR,16184,B5,1
Discours sur l'origine de l'univers (Champs sciences) (French Edition),FR,16040,B5,1
La Science et l'hypothèse (Champs sciences),SH,18021,B6,1
"Physique, Philosophie, Politique (Points sciences) (French Edition)",PH 1875,B1,1,Main
Le Nom de la Rose (Ldp Litterature) (French Edition),FR,16098,B5,1
Études d'histoire de la pensée scientifique (Tel) (French Edition),HP,20008,B8,1
"La complexité, vertiges et promesses - Poche (POCHE - Le Pommier) (French Edition)",FR,16060,B5,2
L'atome au pied du mur - Nouvelle édition: et autres nouvelles (Romans & Plus) (French Edition),FR,16080,B5,1
Les Combustibles (Le Livre de Poche) (French Edition),FR,16124,B5,1
L'ecriture et la difference ( French Edition) (Points essais),FR,16113,B5,1
Sans Feu Ni Lieu (Nouveau Policier) (French Edition),FR,16182,B5,1
Give & Take,DP,19017,B7,1
Le facteur temps ne sonne jamais deux fois (Champs sciences (942)),FR,16088,B5,1
Les visages de l'ombre (Folio policier) (French Edition),FR,16139,B5,1
"Cessez d'être gentil, soyez vrai! (edition illustree) (French Edition)",DP,19006,B7,1
Debout les Morts (Nouveau Policier) (French Edition),FR,16032,B5,1
