ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
0;Nuclear interactions ;Book ;;DM27054B9;Main;
1;COMMENT JE SUIS DEVENUE CELEBR (GRAND FORMATDIVERS) (French Edition);Book ;ISBN: 2092517716ISBN_13: 9782092517710;FR16024B5;1;Main
2;Central Park (edition poche) (Best) (French Edition) ;Book ;ISBN: 2266258486ISBN_13: 9782266258487;FR16020B5;1;Main
3;Microeconomics of Banking (The MIT Press) ;Book ;ISBN: 0262062704ISBN_13: 9780262062701;EF 10017B3;1;Main
4;Endogenous Growth Theory (The MIT Press) ;Book ;ISBN: 0262528460ISBN_13: 9780262528467;EC23029B10;1;Main
5;ECONOMIE INTERNATIONALE 9E (ECO GESTION) (FrenchEdition);Book ;ISBN: 2326000137ISBN_13: 9782326000131;EF 10006B3;1;Main
6;La Huitiäme Porte (L'Autre, Tome 3) (L'Autre (3)) (FrenchEdition);Book ;ISBN: 2253159999ISBN_13: 9782253159995;FR16065B5;1;Main
7;1Q84 - Livre 3 (3) (LittÇrature Çtrangäre) (French Edition) ;Book ;ISBN: 2264059265ISBN_13: 9782264059260;FR16004B5;1;Main
8;Linchpin: Are You Indispensable? How to drive your careerand create a remarkable future;Book ;ISBN: 0749953357ISBN_13: 9780749953355;DP19052B7;1;Main
9;The Theory of Incentives: The Principal-Agent Model ;Book ;ISBN: 0691091846ISBN_13: 9780691091846;EF 10021B3;1;Main
10;The Theory of Incentives: The Principal-Agent Model ;Book ;ISBN: 0691091846ISBN_13: 9780691091846;EF 10021B3;2;Main
11;The Theory of Industrial Organization (The MIT Press) ;Book ;ISBN: 0262200716ISBN_13: 9780262200714;GI 12025B4;1;Main
12;Microeconomics of Banking (The MIT Press) ;Book ;ISBN: 0262062704ISBN_13: 9780262062701;EF 10017B3;2;Main
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
13;The Theory of Industrial Organization (The MIT Press) ;Book ;ISBN: 0262200716ISBN_13: 9780262200714;GI 12025B4;2;Main
14;Contre-histoire de la philosophie tome 9 : Les ConsciencesrÇfractaires: Contre-histoire de la philosophie t.9 (Contrehistoire de la philosophie (9)) (French Edition);Book ;ISBN: 2253156523ISBN_13: 9782253156529;PI 21004B8;1;Main
15;The Four Steps to the Epiphany ;Book ;ISBN: 0989200507ISBN_13: 9780989200509;DP19081B7;1;Main
16;La Peste (Folio Plus Classique) (French Edition) ;Book ;ISBN: 2070349578ISBN_13: 9782070349579;FR16070B5;1;Main
17;Le theoreme du perroquet (Points) (French Edition) ;Book ;ISBN: 2020427850ISBN_13: 9782020427852;FR16111B5;1;Main
18;PLPR5 Jamaica Inn (Penguin Longman Penguin Readers) ;Book ;ISBN: 1405862572ISBN_13: 9781405862578;LA 17060B5;1;Main
19;La complexitÇ, vertiges et promesses - Poche (POCHE - LePommier) (French Edition);Book ;ISBN: 274650703XISBN_13: 9782746507036;FR16060B5;1;Main
20;Qu'y a-t-il dans un REACTEUR nuclÇaire ;Book ;ISBN_13: 9782746505711 ;FR16178B5;1;Main
21;Les Ultras des lumiäres ;Book ;ISBN_13: 9782253084457 ;PI21015B8;1;Main
22;Le facteur temps ne sonne jamais deux fois (Champs sciences)(French Edition);Book ;ISBN: 2081391562ISBN_13: 9782081391567;FR16089B5;1;Main
